X,Y,id,DistrictHQ,icon_url
75.0308016930311,29.524200819382,"1",Sirsa,./0.png
75.7368852696455,29.1484487405989,"2",Hisar,./0.png
76.7856877752598,30.358287851406,"3",Ambala Sadar,./0.png
77.268797590838,30.1064100843096,"4",Yamunanagar,./0.png
76.9632409553441,29.6811082808519,"5",Karnal,./0.png
76.3810316904164,29.7802077302012,"6",Kaithal,./0.png
77.0169198237416,28.4671400263219,"7",Gurugram,./0.png
76.5957471640068,28.1904873968883,"9",Rewari,./0.png
76.1167664921514,28.05009651031,"10",Narnaul,./0.png
76.1415413544888,28.7809549492616,"11",Bhiwani,./0.png
76.8373020717959,29.9680837695928,"12",Kurukshetra,./0.png
76.5771660172538,28.8862481141954,"13",Rohtak,./0.png
77.0210489674645,28.9915412791291,"14",Sonepat,./0.png
76.3129008189888,29.2991624864845,"16",Jind,./0.png
76.9560294521977,29.3775934915153,"15",Panipat,./0.png
77.3580440297612,28.1649836526421,"17",Palwal,./0.png
76.6748708374946,28.5840485209368,"18",Jhajjar,./0.png
75.4644555667457,29.4991692449572,"20",Fatehabad,./0.png
76.8512679099629,30.7105590851674,"19",Panchkula,./0.png
77.0291139212568,28.1015784166738,"8",Nuh,./0.png
